Disease,Model,Accuracy_mean,Accuracy_std,Accuracy,Precision_mean,Precision_std,Precision,Recall_mean,Recall_std,Recall,Specificity_mean,Specificity_std,Specificity,F1_mean,F1_std,F1,AUC_ROC_mean,AUC_ROC_std,AUC_ROC,AUC_PR_mean,AUC_PR_std,AUC_PR,MCC_mean,MCC_std,MCC,Brier_mean,Brier_std,Brier
Diabetes,Logistic_Regression,0.8461210974456007,0.0009256843122595068,0.8461±0.0009,0.5386774311560522,0.00976490107963041,0.5387±0.0098,0.16409423125373046,0.005988199616448136,0.1641±0.0060,0.973706484589924,0.001095642037954662,0.9737±0.0011,0.25150555883267245,0.007457868231308622,0.2515±0.0075,0.8091954811774524,0.0035225255203873546,0.8092±0.0035,0.41641093129202755,0.007854185178035803,0.4164±0.0079,0.23483605714459582,0.006830209856735441,0.2348±0.0068,0.11033834583264726,0.0007935903103850478,0.1103±0.0008
Diabetes,KNN,0.8341966256701356,0.0008687470679880664,0.8342±0.0009,0.4436281330630242,0.0061524883646127985,0.4436±0.0062,0.20529309563463244,0.006119869219570518,0.2053±0.0061,0.9518443787842681,0.0010609387982628102,0.9518±0.0011,0.2806619926315562,0.006641631879351849,0.2807±0.0066,0.7368986350309081,0.003572121304834525,0.7369±0.0036,0.32021129458030106,0.0057781586354414575,0.3202±0.0058,0.22017798606810174,0.006108234488931925,0.2202±0.0061,0.12341548729236254,0.0008224976066822346,0.1234±0.0008
Diabetes,Random_Forest,0.8495545569221065,0.000838862841163876,0.8496±0.0008,0.6043210600421097,0.01242527109110271,0.6043±0.0124,0.13135050137027485,0.004179398795642914,0.1314±0.0042,0.9839075624262821,0.000729198266733207,0.9839±0.0007,0.21577175338097856,0.00605117626034884,0.2158±0.0061,0.8152451000567567,0.004060456687885147,0.8152±0.0041,0.4439498512761538,0.007730375597110792,0.4439±0.0077,0.23088041603645282,0.006670094096179988,0.2309±0.0067,0.10794058955858403,0.0007320207143304073,0.1079±0.0007
Diabetes,XGBoost_Tuned,0.8504020813623463,0.001137449107456369,0.8504±0.0011,0.5860285211059704,0.011690937744200542,0.5860±0.0117,0.17259937824804322,0.006294864773361795,0.1726±0.0063,0.9771973154179016,0.000797982155035303,0.9772±0.0008,0.2666260659702503,0.008368871285060484,0.2666±0.0084,0.8183759727587073,0.003930161159879434,0.8184±0.0039,0.4482243208390654,0.007741893551072135,0.4482±0.0077,0.2594063229166223,0.008525765510537233,0.2594±0.0085,0.10724909859617282,0.0008045029937581883,0.1072±0.0008
Diabetes,LightGBM_Tuned,0.8503626616209399,0.0009891135028421486,0.8504±0.0010,0.5899419726427155,0.010871983705864204,0.5899±0.0109,0.16544516941983628,0.005127593325118175,0.1654±0.0051,0.9784888304919571,0.0007344346065414889,0.9785±0.0007,0.25839342276640875,0.006945053418565756,0.2584±0.0069,0.8182284444920971,0.003990920087258384,0.8182±0.0040,0.44808845522077434,0.007688092042812035,0.4481±0.0077,0.2551459352128167,0.00730047874622654,0.2551±0.0073,0.10730386285305919,0.0007886780444121033,0.1073±0.0008
Diabetes,CatBoost_Tuned,0.8505400504572689,0.001042091265376542,0.8505±0.0010,0.5799932261568878,0.010355481797719593,0.5800±0.0104,0.1870575893400791,0.005691367007134225,0.1871±0.0057,0.9746564102377702,0.000983294205846351,0.9747±0.0010,0.28284316606400123,0.007169641314030007,0.2828±0.0072,0.8183779854005865,0.004033780528106593,0.8184±0.0040,0.4487727136767596,0.007842454026201035,0.4488±0.0078,0.26824401497910083,0.007165434877883888,0.2682±0.0072,0.10724539908266002,0.0008254569129649449,0.1072±0.0008
HeartDisease,Logistic_Regression,0.9059878587196468,0.0006521435988156267,0.9060±0.0007,0.5046898933281034,0.01881408093961943,0.5047±0.0188,0.09036136686451676,0.007995232024886997,0.0904±0.0080,0.9907958221558454,0.0005849539973187603,0.9908±0.0006,0.15318986047710664,0.012091657307455072,0.1532±0.0121,0.8365590773569445,0.003842032289873115,0.8366±0.0038,0.3404345135479647,0.006522171463025977,0.3404±0.0065,0.18398402497549549,0.012248333931548993,0.1840±0.0122,0.07203288307125393,0.0004083447699010663,0.0720±0.0004
HeartDisease,KNN,0.8990381583096815,0.001229087055812359,0.8990±0.0012,0.3728063923968364,0.021064810537515636,0.3728±0.0211,0.10513574244576344,0.005870935324770452,0.1051±0.0059,0.9815872919440526,0.0010840917271227799,0.9816±0.0011,0.16397596428328745,0.00881435024267715,0.1640±0.0088,0.734286832299462,0.006734884100054742,0.7343±0.0067,0.21972399044232765,0.007665118089854372,0.2197±0.0077,0.15752316387277168,0.01118800495432086,0.1575±0.0112,0.08201470275906012,0.0009343434652235884,0.0820±0.0009
HeartDisease,Random_Forest,0.9063702302112899,0.0004894401827552481,0.9064±0.0005,0.5599110847794766,0.05362512968972252,0.5599±0.0536,0.028251154612055608,0.002841880823680377,0.0283±0.0028,0.9976761059402912,0.000398487218217881,0.9977±0.0004,0.05377028787139607,0.005304881183343006,0.0538±0.0053,0.836206498441787,0.0036409433117320406,0.8362±0.0036,0.3414084273737784,0.0060020049494684605,0.3414±0.0060,0.11005131390541742,0.01167835157725394,0.1101±0.0117,0.07189123388697129,0.0002902563419742784,0.0719±0.0003
HeartDisease,XGBoost_Tuned,0.9065673289183224,0.0005404387603788674,0.9066±0.0005,0.5474177677866222,0.03393398070770058,0.5474±0.0339,0.04679223638328392,0.002773378540827354,0.0468±0.0028,0.9959658243176548,0.0004269085749895563,0.9960±0.0004,0.08620021382801106,0.005002931082655718,0.0862±0.0050,0.8385401765385243,0.003632080183932382,0.8385±0.0036,0.3446844007613082,0.006568298526249156,0.3447±0.0066,0.13973320761729852,0.009451361455106121,0.1397±0.0095,0.07162413118370059,0.00033042665490998706,0.0716±0.0003
