Disease,Rank,SHAP,PFI,TabNet_Attention
Diabetes,1,GenHlth,BMI,GenHlth
Diabetes,2,Age,GenHlth,BMI
Diabetes,3,BMI,HighChol,Income
Diabetes,4,HighChol,Age,Age
Diabetes,5,Income,Sex,HighChol
Diabetes,6,Sex,CholCheck,DiffWalk
Diabetes,7,DiffWalk,PhysHlth,PhysHlth
Diabetes,8,CholCheck,HvyAlcoholConsump,Sex
Diabetes,9,HvyAlcoholConsump,Income,Education
Diabetes,10,Education,Education,CholCheck
HeartDisease,1,Age,GenHlth,GenHlth
HeartDisease,2,GenHlth,Age,Age
HeartDisease,3,HighChol,HighChol,Fruits
HeartDisease,4,Sex,Sex,PhysHlth
HeartDisease,5,DiffWalk,BMI,Sex
HeartDisease,6,Smoker,PhysActivity,Income
HeartDisease,7,Income,CholCheck,HighChol
HeartDisease,8,PhysHlth,Fruits,CholCheck
HeartDisease,9,BMI,Veggies,MentHlth
HeartDisease,10,NoDocbcCost,AnyHealthcare,AnyHealthcare
Stroke,1,Age,Income,GenHlth
Stroke,2,GenHlth,Education,Age
Stroke,3,DiffWalk,Age,Income
Stroke,4,Income,Sex,HighChol
Stroke,5,HighChol,DiffWalk,DiffWalk
Stroke,6,PhysHlth,PhysHlth,CholCheck
Stroke,7,Smoker,MentHlth,Sex
Stroke,8,Sex,GenHlth,BMI
Stroke,9,BMI,NoDocbcCost,HvyAlcoholConsump
Stroke,10,MentHlth,AnyHealthcare,Veggies
Hypertension,1,Age,Age,Age
Hypertension,2,BMI,BMI,BMI
Hypertension,3,HighChol,GenHlth,GenHlth
Hypertension,4,GenHlth,HighChol,HighChol
Hypertension,5,Sex,CholCheck,DiffWalk
Hypertension,6,Income,Income,Sex
Hypertension,7,DiffWalk,Sex,Income
Hypertension,8,CholCheck,PhysHlth,CholCheck
Hypertension,9,Education,Education,AnyHealthcare
Hypertension,10,HvyAlcoholConsump,DiffWalk,PhysActivity
