Disease,Demographic,Group,Accuracy,Precision,Recall,F1,DPD,EOD,Stage
Diabetes,Sex,Female,0.8607984560553341,0.5982731554160126,0.181346657149655,0.27832755157933176,0.003751325422424165,0.01100597578692955,Before_Mitigation
Diabetes,Sex,Male,0.8394625176803394,0.5947339348186338,0.17034068136272545,0.2648300742016152,0.003751325422424165,0.01100597578692955,Before_Mitigation
Diabetes,Age,Middle(45-64),0.8569626799989112,0.601123595505618,0.18461446930033318,0.2824761037778789,0.06760834239860555,0.13215966095888226,Before_Mitigation
Diabetes,Age,Senior(65+),0.7831031772762995,0.5928181108508978,0.18514725960600742,0.28216846876973956,0.06760834239860555,0.13215966095888226,Before_Mitigation
Diabetes,Age,Young(18-44),0.9519677947096561,0.6025641025641025,0.05298759864712514,0.09740932642487046,0.06760834239860555,0.13215966095888226,Before_Mitigation
Diabetes,Income,High,0.8845620141820619,0.5891608391608392,0.09987651271918992,0.17079866537145752,0.11709840333678737,0.20452712077212132,Before_Mitigation
Diabetes,Income,Low,0.7573161647334256,0.5974806201550388,0.3044036334913112,0.4033228676085819,0.11709840333678737,0.20452712077212132,Before_Mitigation
Diabetes,Income,Medium,0.8057064626885132,0.603303209722655,0.2015826738858809,0.30219308514789667,0.11709840333678737,0.20452712077212132,Before_Mitigation
Diabetes,Education,High,0.8733715123987925,0.6009780836804927,0.1408438746922489,0.22820592179923657,0.13314280570863535,0.19990056697649955,Before_Mitigation
Diabetes,Education,Low,0.7426067907995619,0.6062222222222222,0.34074444166874845,0.43627059011674396,0.13314280570863535,0.19990056697649955,Before_Mitigation
Diabetes,Education,Medium,0.8130996015936255,0.5853598014888337,0.18999677835051546,0.2868782682719202,0.13314280570863535,0.19990056697649955,Before_Mitigation
Diabetes,Sex,Female,0.8607350641666784,0.5940953822861469,0.1867237687366167,0.2841419261404779,,,After_Mitigation
Diabetes,Sex,Male,0.8394446135391116,0.5988070040407928,0.16411770910241535,0.25762655739062046,,,After_Mitigation
HeartDisease,Sex,Female,0.9281558595235747,0.5274725274725275,0.004703576678098971,0.009324009324009324,0.01632321138366238,0.07273651683446679,Before_Mitigation
HeartDisease,Sex,Male,0.87947827332462,0.5593667546174143,0.07744009351256576,0.13604569081691587,0.01632321138366238,0.07273651683446679,Before_Mitigation
HeartDisease,Age,Middle(45-64),0.9299875690733062,0.5689655172413793,0.017036654620547237,0.03308270676691729,0.01969237678230605,0.06340956340956341,Before_Mitigation
HeartDisease,Age,Senior(65+),0.8294150668013922,0.556442417331813,0.06340956340956341,0.11384579493759478,0.01969237678230605,0.06340956340956341,Before_Mitigation
HeartDisease,Age,Young(18-44),0.9861583426775243,0.0,0.0,0.0,0.01969237678230605,0.06340956340956341,Before_Mitigation
HeartDisease,Income,High,0.9320589860884085,0.5615384615384615,0.03137086377309841,0.05942205942205942,0.013896554996513053,0.03074301166520515,Before_Mitigation
HeartDisease,Income,Low,0.8352399702032564,0.5570570570570571,0.059180092518743024,0.10699351117519827,0.013896554996513053,0.03074301166520515,Before_Mitigation
HeartDisease,Income,Medium,0.8714633404320049,0.5552238805970149,0.06211387543830356,0.11172848776092506,0.013896554996513053,0.03074301166520515,Before_Mitigation
HeartDisease,Education,High,0.921573052726606,0.5548317046688382,0.036497393043354046,0.06848947862216861,0.020141223959175822,0.043090235822625333,Before_Mitigation
HeartDisease,Education,Low,0.8257758305951077,0.5561959654178674,0.07958762886597938,0.13924963924963926,0.020141223959175822,0.043090235822625333,Before_Mitigation
HeartDisease,Education,Medium,0.8824382470119522,0.5626740947075209,0.05410472746752377,0.09871716554673182,0.020141223959175822,0.043090235822625333,Before_Mitigation
HeartDisease,Sex,Female,0.9278811613394001,0.4847122302158273,0.052817246447819696,0.09525492621719538,,,After_Mitigation
HeartDisease,Sex,Male,0.8791112384294487,0.6050228310502284,0.03872004675628288,0.07278220269156825,,,After_Mitigation
Stroke,Sex,Female,0.9599504134559849,0.0,0.0,0.0,0.0,0.0,Before_Mitigation
Stroke,Sex,Male,0.9587667627522246,0.0,0.0,0.0,0.0,0.0,Before_Mitigation
Stroke,Age,Middle(45-64),0.9674346015298206,0.0,0.0,0.0,0.0,0.0,Before_Mitigation
Stroke,Age,Senior(65+),0.9303469181542607,0.0,0.0,0.0,0.0,0.0,Before_Mitigation
Stroke,Age,Young(18-44),0.9908273744967924,0.0,0.0,0.0,0.0,0.0,Before_Mitigation
Stroke,Income,High,0.9752225501840376,0.0,0.0,0.0,0.0,0.0,Before_Mitigation
Stroke,Income,Low,0.9106629775460253,0.0,0.0,0.0,0.0,0.0,Before_Mitigation
Stroke,Income,Medium,0.9408926941631536,0.0,0.0,0.0,0.0,0.0,Before_Mitigation
Stroke,Education,High,0.967252517843541,0.0,0.0,0.0,0.0,0.0,Before_Mitigation
Stroke,Education,Low,0.9131069733479372,0.0,0.0,0.0,0.0,0.0,Before_Mitigation
Stroke,Education,Medium,0.9474422310756972,0.0,0.0,0.0,0.0,0.0,Before_Mitigation
Hypertension,Sex,Female,0.7408750898051756,0.6876326486564265,0.6631224741123619,0.6751551862676709,0.0643578507080742,0.059640905425539514,Before_Mitigation
Hypertension,Sex,Male,0.7099887203910265,0.684356225703852,0.6811200562763795,0.6827343061404367,0.0643578507080742,0.059640905425539514,Before_Mitigation
Hypertension,Age,Middle(45-64),0.7050240905915125,0.6613622226829774,0.5675585507439781,0.6108803638757556,0.6863506542167819,0.6696542765997887,Before_Mitigation
Hypertension,Age,Senior(65+),0.6856966430897047,0.7031240438161679,0.8425269024180095,0.7665390741621009,0.6863506542167819,0.6696542765997887,Before_Mitigation
Hypertension,Age,Young(18-44),0.8404257274682451,0.6234520123839009,0.17287262581822083,0.2706880618331513,0.6863506542167819,0.6696542765997887,Before_Mitigation
Hypertension,Income,High,0.7308994908098827,0.6630173991860238,0.5818879460943349,0.6198091029166217,0.3130639682901667,0.24331722322931382,Before_Mitigation
Hypertension,Income,Low,0.7229700968394168,0.7228855926951204,0.8252051693236487,0.7706640237859267,0.3130639682901667,0.24331722322931382,Before_Mitigation
Hypertension,Income,Medium,0.717393193967578,0.7016345637326376,0.777631299170742,0.7376807793936705,0.3130639682901667,0.24331722322931382,Before_Mitigation
Hypertension,Education,High,0.7323271362879792,0.6716094318721316,0.6139102258097181,0.6414649445657842,0.31093759187736925,0.23674591991376728,Before_Mitigation
Hypertension,Education,Low,0.7269806498722161,0.7319768077890821,0.8384711779448621,0.7816132235266632,0.31093759187736925,0.23674591991376728,Before_Mitigation
Hypertension,Education,Medium,0.7130677290836653,0.700505833162773,0.755296343001261,0.7268700414132068,0.31093759187736925,0.23674591991376728,Before_Mitigation
Hypertension,Sex,Female,0.7393536844774395,0.6731575592901949,0.6961476419266994,0.6844596034960563,,,After_Mitigation
Hypertension,Sex,Male,0.7095858772133995,0.6996866406599731,0.641374863217133,0.6692630012132087,,,After_Mitigation
